CLIENT_AGE,CLIENT_ENCOURS_ENGAGEMENT,CLIENT_MMM,CLIENT_NOMBRE_CARTES,CLIENT_PROFESSION,CLIENT_TYPE_DEPOSANT,CLIENT_VRD_MOY,TOTAL_PACK,SEGMENT_PCA
33,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,20.1769,0.0,1
36,0.0,0.0,0,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,105.8157,0.0,0
25,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,130.70505,1.0,3
33,0.0,0.0,0,Cadre supérieur,CLIENT_EXCLUSIF_EPARGNE,1422.65745,1.0,3
35,176.48125,2283.91,2,Cadre moyen,CLIENT_A_VUE,1713.02795,1.0,0
55,0.0,0.0,0,Employé de bureau,CLIENT_EXCLUSIF_EPARGNE,1380.6419,0.0,3
44,176.48125,889.646,1,Cadre moyen,CLIENT_A_VUE,135.5172,1.0,0
49,0.0,0.0,0,Élèves,CLIENT_EXCLUSIF_EPARGNE,30.96025,0.0,0
34,0.0,0.0,0,Employé de bureau,CLIENT_EXCLUSIF_EPARGNE,119.1282,0.0,0
25,0.0,2359.861,1,Ingénieurs,CLIENT_A_VUE,1148.7134,0.0,3
42,176.48125,1786.071,0,Acteur en service de défense/sécurité,CLIENT_A_VUE,6634.8935335228125,0.0,0
27,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,6.9234,1.0,0
35,0.0,0.0,0,Élèves,CLIENT_EXCLUSIF_EPARGNE,6.13795,0.0,0
38,176.48125,862.666,1,Ouvrier,CLIENT_A_VUE,1431.60035,1.0,0
66,0.0,0.0,0,Retraités,CLIENT_EXCLUSIF_EPARGNE,16.71595,1.0,0
28,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,0.0,3
55,0.0,0.0,0,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,77.351,0.0,0
74,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,0.0,0
31,0.0,0.0,1,Employé de bureau,CLIENT_EXCLUSIF_EPARGNE,170.42935,0.0,1
34,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,0.0008,0.0,0
50,176.48125,540.586,0,Sans profession,CLIENT_A_VUE,12.39665,1.0,0
40,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,0.0,0.0,1
43,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,18.6263,0.0,0
24,0.0,0.0,1,Sportifs et assimilés,CLIENT_EXCLUSIF_EPARGNE,522.6281,1.0,1
44,0.0,0.0,0,Dirigeant et gérant,CLIENT_EXCLUSIF_EPARGNE,163.04145,0.0,0
21,0.0,0.0,1,Élèves,CLIENT_EXCLUSIF_EPARGNE,2156.4964,1.0,0
41,0.0,0.0,0,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,90.77635,0.0,0
67,0.0,2957.48125,0,Artisan,CLIENT_A_VUE,6634.8935335228125,0.0,0
